ID nr.,smolt,sjø,totalt,gytarar,vill/oppdrett
Lygna2017-081,2,1,3,,Vill
Lygna2017-082,,2,,,Vill
Lygna2017-083,,1,,,Vill
Lygna2017-084,2,2,4,,Vill
Lygna2017-085,,2,,,
Lygna2017-086,2,2,4,,Vill
Lygna2017-087,2,1,3,,
Lygna2017-088,,2,,,Vill
Lygna2017-089,,2,,,
Lygna2017-090,2,1,3,,
Lygna2017-091,,1,,,
Lygna2017-092,,3,,?-1-g-1+,Vill
Lygna2017-093,,1,,,
Lygna2017-094,2,1,3,,
Lygna2017-095,,2,,,
Lygna2017-096,2,1,3,,
Lygna2017-097,2,1,3,,
Lygna2017-098,3,2,5,,
Lygna2017-099,,2,,,Vill
Lygna2017-100,2,1,3,,
Lygna2017-101,2,1,3,,
Lygna2017-102,3,3,6,,Vill
Lygna2017-103,2,1,3,,
Lygna2017-104,2,1,3,,
Lygna2017-105,2,2,4,,Vill
Lygna2017-106,2,2,4,,
Lygna2017-107,2,1,3,,
Lygna2017-108,2,1,3,,
Lygna2017-109,,0/1,,,
Lygna2017-110,,2,,,
Lygna2017-111,3,4,7,3-2-g-1+,Vill
Lygna2017-112,,2,,,Vill
Lygna2017-113,3,2,5,,
Lygna2017-114,,1,,,Vill
Lygna2017-115,3,1,4,,Vill
Lygna2017-116,3,1,4,,Vill
Lygna2017-117,2,1,3,,Vill
Lygna2017-118,3,2,5,,Vill
Lygna2017-119,3,1,4,,Vill
Lygna2017-120,,2,,,Vill
Lygna2017-121,2,1,3,,Vill
Lygna2017-122,,2,,,Vill
Lygna2017-123,,2,,,Vill
Bjerkreim2017-001,,2,,,.
Bjerkreim2017-002,3,3,6,3-1-g-1+,.
Bjerkreim2017-003,,1,,,.
Bjerkreim2017-004,,2,,,Vill
Bjerkreim2017-005,,2,,,Vill
Bjerkreim2017-006,2,2,4,,Vill
Bjerkreim2017-007,,2,,,Vill
Bjerkreim2017-008,,3,,,Vill
Bjerkreim2017-009,,2,,,Vill
Bjerkreim2017-010,3,2,5,,.
Bjerkreim2017-011,,3,,?-1-g-1+,.
Bjerkreim2017-012,,2,,,.
Bjerkreim2017-013,3,1,4,,?
Bjerkreim2017-014,,2,,,Vill
Bjerkreim2017-015,2,2,4,,Vill
Bjerkreim2017-016,2,2,4,,Vill
Bjerkreim2017-017,,2,,,Vill
Bjerkreim2017-018,,2,,,Vill
Bjerkreim2017-019,,2,,,Vill
Bjerkreim2017-020,,2,,,.
Bjerkreim2017-021,,2,,,.
Bjerkreim2017-022,2,2,4,,.
Bjerkreim2017-023,,1,1,,Vill
Bjerkreim2017-024,,2,,,Vill
Bjerkreim2017-025,3,2,5,,.
Bjerkreim2017-026,3,3,6,,.
Bjerkreim2017-027,2,2,4,,Vill
Bjerkreim2017-028,2,2,4,,.
Bjerkreim2017-029,,4,,?-2-g-1+,Vill
Bjerkreim2017-030,,2,,,Vill
Bjerkreim2017-031,,0/1,,,.
Bjerkreim2017-032,3,1,4,,Vill
Bjerkreim2017-033,,2,,,Vill
Bjerkreim2017-034,2,2,4,,Vill
Bjerkreim2017-035,,2,,,Vill
Bjerkreim2017-036,,2,,?-1-g-0+,Vill
Bjerkreim2017-037,3,2,5,,Vill
Bjerkreim2017-038,2,2,4,,Vill
Bjerkreim2017-039,,2,,,Vill
Bjerkreim2017-040,,2,,,.
Bjerkreim2017-041,3,2,5,,.
Bjerkreim2017-042,,2,,,.
Bjerkreim2017-043,,2,,,.
Bjerkreim2017-044,,2,,,.
Bjerkreim2017-045,2,2,4,,.
Bjerkreim2017-046,,1,,,.
Bjerkreim2017-047,,2,,,Vill
Bjerkreim2017-048,2,2,4,,Vill
Bjerkreim2017-049,,2,,,.
Bjerkreim2017-050,,2,,,Vill
Bjerkreim2017-051,2,2,4,,Vill
Bjerkreim2017-052,3,1,4,,Vill
Bjerkreim2017-053,2,2,4,,Vill
Bjerkreim2017-054,,2,,,Vill
Bjerkreim2017-055,,1,,,.
Bjerkreim2017-056,,2,,,.
Bjerkreim2017-057,,0/1,,,Oppdrett
Bjerkreim2017-058,2,2,4,,.
Bjerkreim2017-059,2,1,3,,.
Bjerkreim2017-060,,2,,,.
Bjerkreim2017-061,,2,,,.
Bjerkreim2017-062,2,2,4,,.
Bjerkreim2017-063,,2,,,.
Bjerkreim2017-064,,2,,,.
Bjerkreim2017-065,2,3,5,2-1-g-1+,.
Bjerkreim2017-066,2,1,3,,.
Bjerkreim2017-067,2,1,3,,Vill
Bjerkreim2017-068,2,2,4,,Vill
Bjerkreim2017-069,,2,,,Vill
Bjerkreim2017-070,,2,,,Vill
Bjerkreim2017-071,3,2,5,,Vill
Bjerkreim2017-072,,2,,,Vill
Bjerkreim2017-073,2,3,5,,Vill
Bjerkreim2017-074,2,2,4,,Vill
Bjerkreim2017-075,2,2,4,,Vill
Bjerkreim2017-076,,2,,,Vill
Bjerkreim2017-077,3,4,7,3-2-g-1+,.
Bjerkreim2017-078,2,2,4,,Vill
Bjerkreim2017-079,2,1,3,,.
Bjerkreim2017-080,2,2,4,,.
Bjerkreim2017-081,2,2,4,,Vill
Bjerkreim2017-082,,2,,,Vill
Bjerkreim2017-083,2,1,3,,Vill
Bjerkreim2017-084,2,1,3,,.
Bjerkreim2017-085,2,2,4,,.
Bjerkreim2017-086,,1,,,Vill
Bjerkreim2017-087,,3,,?-1-g-1+,Vill
Bjerkreim2017-088,,2,,,Vill
Bjerkreim2017-089,2,2,4,,Vill
Bjerkreim2017-090,,2,,,.
Bjerkreim2017-091,2,1,3,,.
Bjerkreim2017-092,,2,,,Vill
Bjerkreim2017-093,,1,,,.
Bjerkreim2017-094,3,2,5,,Vill
Bjerkreim2017-095,,1,,,.
Bjerkreim2017-096,,2,,,Vill
Bjerkreim2017-097,,2,,,Vill
Bjerkreim2017-098,,2,,,.
Bjerkreim2017-099,2,2,4,,.
Bjerkreim2017-100,3,2,5,,.
Bjerkreim2017-101,,2,2,,.
Bjerkreim2017-102,,2,,,Vill
Bjerkreim2017-103,,2,,,Vill
Bjerkreim2017-104,2,2,4,,Vill
Bjerkreim2017-105,2,2,4,,.
Bjerkreim2017-106,,2,,,Vill
Bjerkreim2017-107,,2,,,Vill
Bjerkreim2017-108,,1,,,.
Bjerkreim2017-109,2,2,4,,Vill
Bjerkreim2017-110,,1,,,Vill
Bjerkreim2017-111,2,2,4,,Vill
Bjerkreim2017-112,,2,,,.
Bjerkreim2017-113,,3,,,Vill
Bjerkreim2017-114,3,1,4,,Vill
Bjerkreim2017-115,2,2,4,,Vill
Bjerkreim2017-116,3,1,4,,Vill
Bjerkreim2017-117,3,2,5,,Vill
Bjerkreim2017-118,,1,,,
Bjerkreim2017-119,,1,,,Vill
Bjerkreim2017-120,,2,,,Vill
Bjerkreim2017-121,2,1,3,,Vill
Bjerkreim2017-122,2,1,3,,
Bjerkreim2017-123,3,1,4,,Vill
Bjerkreim2017-124,,,,,Vill
Bjerkreim2017-125,2,1,3,,Vill
Bjerkreim2017-126,,1,,,
Bjerkreim2017-127,,1,,,
Bjerkreim2017-128,2,1,3,,
Bjerkreim2017-129,2,1,3,,Vill
Bjerkreim2017-130,3,1,4,,Vill
Bjerkreim2017-131,2,2,4,,Vill
Bjerkreim2017-132,2,2,4,2-1-g-0+,Vill
Bjerkreim2017-133,2,1,3,,Vill
Bjerkreim2017-134,2,1,3,,Vill
Bjerkreim2017-135,2,1,3,,
Bjerkreim2017-136,,1,,,
Bjerkreim2017-137,2,1,3,,Vill
Bjerkreim2017-138,2,1,3,,Vill
Bjerkreim2017-139,2,1,3,,Vill
Bjerkreim2017-140,2,1,3,,
Bjerkreim2017-141,3,1,4,,
Bjerkreim2017-142,2,1,3,,Vill
Bjerkreim2017-143,3,4,7,3-2-g-1+,Vill
Bjerkreim2017-144,,2,,,Vill
Bjerkreim2017-145,2,1,3,,Vill
Bjerkreim2017-146,2,1,3,,Vill
Bjerkreim2017-147,3,1,4,,Vill
Bjerkreim2017-148,2,1,3,,Vill
Bjerkreim2017-149,3,2,5,,Vill
Bjerkreim2017-150,,2,,,
Bjerkreim2017-151,3,1,4,,
Bjerkreim2017-152,3,1,4,,Vill
Bjerkreim2017-153,3,2,5,,Vill
Bjerkreim2017-154,2,1,3,,Vill
Bjerkreim2017-155,3,2,5,,Vill
Bjerkreim2017-156,,2,,,Vill
Bjerkreim2017-157,,2,,,Vill
Bjerkreim2017-158,,2,,,Vill
Bjerkreim2017-159,2,4,6,2-2-g-1+,Vill
Bjerkreim2017-160,2,1,3,,Vill
Bjerkreim2017-161,2,1,3,,Vill
Bjerkreim2017-162,,2,,,Vill
Bjerkreim2017-163,2,1,3,,
Bjerkreim2017-164,2,1,3,,
Bjerkreim2017-165,2,1,3,,Vill
Bjerkreim2017-166,2,2,4,,Vill
Bjerkreim2017-167,3,2,5,,Vill
Bjerkreim2017-168,,1,,,
Bjerkreim2017-169,,1,,,
Bjerkreim2017-170,,2,,,Vill
Bjerkreim2017-171,2,2,4,2-1-g-0+,Vill
Bjerkreim2017-172,,2,,,Vill
Bjerkreim2017-173,2,2,4,,Vill
Bjerkreim2017-174,,2,,?-1-g-0+,
Bjerkreim2017-175,,2,,,
Bjerkreim2017-176,2,2,4,,
Bjerkreim2017-177,,2,,,Vill
Bjerkreim2017-178,3,2,5,,Vill
Bjerkreim2017-179,,2,,,
Bjerkreim2017-180,,2,,,Vill
Bjerkreim2017-181,,1,,,
Bjerkreim2017-182,2,2,4,,Vill
Bjerkreim2017-183,,1,,,Vill
Bjerkreim2017-184,2,1,3,,
Bjerkreim2017-185,3,2,5,,Vill
Bjerkreim2017-186,3,1,4,,Vill
Bjerkreim2017-187,,1,,,Vill
Bjerkreim2017-188,2,4,6,2-2-g-1+,
Bjerkreim2017-189,,2,,,Vill
Bjerkreim2017-190,,1,,,
Bjerkreim2017-191,3,2,5,,Vill
Bjerkreim2017-192,3,1,4,,
Bjerkreim2017-193,,2,,,
Bjerkreim2017-194,,2,,,
Bjerkreim2017-195,,2,,,
Bjerkreim2017-196,,2,,,
Bjerkreim2017-197,3,1,4,,
Bjerkreim2017-198,,1,,,
Bjerkreim2017-199,,4,,?-2-g-1+,Vill
Bjerkreim2017-200,,2,,,Vill
Bjerkreim2017-201,,1,,,Vill
Bjerkreim2017-202,3,1,4,,Vill
Bjerkreim2017-203,,1,,,Vill
Bjerkreim2017-204,2,1,3,,Vill
Bjerkreim2017-205,,2,,,Vill
Bjerkreim2017-206,2,1,3,,Vill
Bjerkreim2017-207,,1,,,Vill
Bjerkreim2017-208,2,2,4,,
Bjerkreim2017-209,3,1,4,,
Bjerkreim2017-210,2,2,4,,
Bjerkreim2017-211,,2,,,
Bjerkreim2017-212,2,1,3,,Vill
Bjerkreim2017-213,,2,,,Vill
Bjerkreim2017-214,,2,,,Vill
Bjerkreim2017-215,,2,,,Vill
Bjerkreim2017-216,2,1,3,,Vill
Bjerkreim2017-217,2,3,5,,Vill
Bjerkreim2017-218,,1,,,Vill
Bjerkreim2017-219,,1,,,Vill
Bjerkreim2017-220,,1,,,
Bjerkreim2017-221,2,1,3,,
Bjerkreim2017-222,,1,,,
Bjerkreim2017-223,,1,,,
Bjerkreim2017-224,3,1,4,,Vill
Bjerkreim2017-225,3,1,4,,Vill
Bjerkreim2017-226,2,1,3,,Vill
Bjerkreim2017-227,,1,,,Vill
Bjerkreim2017-228,,1,,,Vill
Bjerkreim2017-229,,2,,?-1-g-0+,Vill
Bjerkreim2017-230,2,1,3,,Vill
Bjerkreim2017-231,3,2,5,3-1-g-0+,Vill
Bjerkreim2017-232,2,1,3,,Vill
Bjerkreim2017-233,,2,,,Vill
Bjerkreim2017-234,,1,,,Vill
Bjerkreim2017-235,,1,,,Vill
Bjerkreim2017-236,2,3,5,,Vill
Bjerkreim2017-237,,1,,,Vill
Bjerkreim2017-238,3,1,4,,Vill
Bjerkreim2017-239,2,1,3,,Vill
Bjerkreim2017-240,3,1,4,,Vill
Bjerkreim2017-241,2,1,3,,Vill
Bjerkreim2017-242,,1,,,Vill
Bjerkreim2017-243,,1,,,Vill
Bjerkreim2017-244,,2,,,Vill
Bjerkreim2017-245,3,2,5,,Vill
Bjerkreim2017-246,,2,,,Vill
Bjerkreim2017-247,3,2,5,,Vill
Bjerkreim2017-248,,2,,,Vill
Bjerkreim2017-249,,2,,,Vill
Bjerkreim2017-250,3,2,5,,Vill
Bjerkreim2017-251,,2,,,Vill
Bjerkreim2017-252,2,1,3,,Vill
Bjerkreim2017-253,3,1,4,,Vill
Bjerkreim2017-254,,1,,,Vill
Bjerkreim2017-255,,1,,,Vill
Bjerkreim2017-256,,2,,,Vill
Bjerkreim2017-257,2,2,4,,Vill
Bjerkreim2017-258,2,2,4,,Vill
Bjerkreim2017-259,,1,,,Vill
Bjerkreim2017-260,2,1,3,,Vill
Bjerkreim2017-261,,2,,,Vill
Bjerkreim2017-262,2,1,3,,Vill
Bjerkreim2017-263,3,1,4,,Vill
Bjerkreim2017-264,,2,,,Vill
Bjerkreim2017-265,,2,,,Vill
Bjerkreim2017-266,3,1,4,,Vill
Bjerkreim2017-267,3,2,5,,Vill
Bjerkreim2017-268,2,1,3,,Vill
Bjerkreim2017-269,2,1,3,,Vill
Bjerkreim2017-270,,1,,,Vill
Bjerkreim2017-271,3,2,5,,Vill
Bjerkreim2017-272,3,2,5,,Vill
Bjerkreim2017-273,3,2,5,,Vill
Bjerkreim2017-274,2,1,3,,Vill
Bjerkreim2017-275,,1,,,Vill
Bjerkreim2017-276,3,1,4,,Vill
Bjerkreim2017-277,,1,,,Vill
Bjerkreim2017-278,3,1,4,,Vill
Bjerkreim2017-279,2,1,3,,Vill
Bjerkreim2017-280,,2,,,Vill
Bjerkreim2017-281,2,1,3,,Vill
Bjerkreim2017-282,,2,,,Vill
Bjerkreim2017-283,2,2,4,,Vill
Bjerkreim2017-284,3,2,5,,Vill
Bjerkreim2017-285,2,1,3,,Vill
Bjerkreim2017-286,,1,,,Vill
Bjerkreim2017-287,,2,,,Vill
Bjerkreim2017-288,2,2,4,,Vill
Bjerkreim2017-289,2,2,4,,Vill
Bjerkreim2017-290,2,2,4,2-1-g-0+,Vill
Bjerkreim2017-291,2,1,3,,Vill
Bjerkreim2017-292,3,1,4,,Vill
Bjerkreim2017-293,,2,,,Vill
Bjerkreim2017-294,2,2,4,,Vill
Bjerkreim2017-295,3,1,4,,Vill
Bjerkreim2017-296,,1,,,Vill
Bjerkreim2017-297,2,3,5,2-1-g-1+,Vill
Bjerkreim2017-298,,3,,,Vill
Bjerkreim2017-299,,4,,?-2-g-1+,Vill
Bjerkreim2017-300,,2,,,Vill
Bjerkreim2017-301,3,2,5,,Vill
Bjerkreim2017-302,,1,,,Vill
Bjerkreim2017-303,2,1,3,,Vill
Bjerkreim2017-304,3,2,5,,Vill
Bjerkreim2017-305,,1,,,Vill
Bjerkreim2017-306,2,1,3,,Vill
Bjerkreim2017-307,,3,,,Vill
Bjerkreim2017-308,2,2,4,,Vill
Bjerkreim2017-309,,1,,,
Dirdal2017-001,,3,,,Vill
Dirdal2017-002,3,3,6,,Vill
Dirdal2017-003,,2,,,.
Dirdal2017-004,,3,,,.
Dirdal2017-005,,2,,,Vill
Dirdal2017-006,,2,,,Vill
Dirdal2017-007,3,3,6,,Vill
Dirdal2017-008,,3,,,.
Dirdal2017-009,3,3,6,,Vill
Dirdal2017-010,,2,,,Vill
Dirdal2017-011,3,2,5,,Vill
Dirdal2017-012,3,2,5,,Vill
Dirdal2017-013,2,3,5,,Vill
Dirdal2017-014,,2,,,.
Dirdal2017-015,2,3,5,,.
Dirdal2017-016,,3,,,Vill
Dirdal2017-017,3,2,5,,Vill
Dirdal2017-018,3,3,6,,Vill
Dirdal2017-019,3,3,6,,Vill
Dirdal2017-020,,2,,,Vill
Dirdal2017-021,,3,,,.
Dirdal2017-022,,2,,,.
Dirdal2017-023,,2,,,Vill
Dirdal2017-024,,3,,,Vill
Dirdal2017-025,3,4,7,3-2-g-1+,Vill
Dirdal2017-026,,3,,,Vill
Dirdal2017-027,3,3,6,,Vill
Dirdal2017-028,2,3,5,2-1-g-1+,Vill
Dirdal2017-029,,3,,,Vill
Dirdal2017-030,,2,,,Vill
Dirdal2017-031,2,3,5,,.
Dirdal2017-032,,2,,,.
Dirdal2017-033,,2,,,Vill
Dirdal2017-034,3,3,6,,Vill
Dirdal2017-035,3,2,5,,Vill
Dirdal2017-036,,3,,,Vill
Dirdal2017-037,,3,,,.
Dirdal2017-038,,3,,,.
Dirdal2017-039,,2,,,.
Dirdal2017-040,,3,,,.
Dirdal2017-041,3,3,6,,.
Dirdal2017-042,3,2,5,,Vill
Dirdal2017-043,2,3,5,,.
Dirdal2017-044,,2,,,Vill
Dirdal2017-045,3,4,7,3-2-g-1+,.
Dirdal2017-046,,3,,,.
Dirdal2017-047,,2,,,.
Dirdal2017-048,,3,,,Vill
Dirdal2017-049,,3,,,Vill
Dirdal2017-050,3,2,5,,Vill
Dirdal2017-051,3,2,5,,Vill
Dirdal2017-052,3,2,5,,Vill
Dirdal2017-053,3,2,5,,.
Dirdal2017-054,,4,,?-2-g-1+,.
Dirdal2017-055,2,3,5,,Vill
Dirdal2017-056,,2,,,.
Dirdal2017-057,,2,,,.
Dirdal2017-058,3,2,5,,.
Dirdal2017-059,,4,,?-2-g-1+,.
Dirdal2017-060,,2,,,.
Dirdal2017-061,,2,,,.
Dirdal2017-062,,2,,,.
Dirdal2017-063,3,2,5,,.
Dirdal2017-064,2,2,4,,.
Dirdal2017-065,2,2,4,,.
Dirdal2017-066,3,2,5,,.
Dirdal2017-067,,2,,,.
Dirdal2017-068,,2,,,.
Dirdal2017-069,3,3,6,,.
Dirdal2017-070,3,2,5,,.
Dirdal2017-071,,3,,,.
Dirdal2017-072,,2,,,.
Dirdal2017-073,,2,,,.
Dirdal2017-074,3,2,5,,.
Dirdal2017-075,2,2,4,,.
Dirdal2017-076,3,2,5,,Vill
Dirdal2017-077,,2,,,.
Dirdal2017-078,,2,,,Vill
Dirdal2017-079,2,1,3,,Vill
Dirdal2017-080,,2,,,Vill
Dirdal2017-081,,3,,,Vill
Dirdal2017-082,3,2,5,,Vill
Dirdal2017-083,,2,,,Vill
Dirdal2017-084,3,2,5,,Vill
Dirdal2017-085,3,2,5,,.
Dirdal2017-086,3,3,6,,.
Dirdal2017-087,3,2,5,,.
Dirdal2017-088,3,2,5,,.
Dirdal2017-089,3,2,5,,.
Dirdal2017-090,,2,,,.
Dirdal2017-091,,3,,,.
Dirdal2017-092,3,2,5,,.
Dirdal2017-093,,3,,,Vill
Dirdal2017-094,,3,,,Vill
Dirdal2017-095,,4,,,.
Dirdal2017-096,2,2,4,,.
Dirdal2017-097,3,2,5,,.
Dirdal2017-098,3,3,6,,Vill
Dirdal2017-099,,4,,?-2-g-1+,Vill
Dirdal2017-100,3,2,5,,Vill
Dirdal2017-101,3,2,5,,Vill
Dirdal2017-102,,0/1,,,Vill
Dirdal2017-103,,2,,,.
Dirdal2017-104,3,2,5,,Vill
Dirdal2017-105,,3,,,.
Dirdal2017-106,,2,,,Vill
Dirdal2017-107,3,3,6,,.
Dirdal2017-108,3,2,5,,.
Dirdal2017-109,,2,,,Vill
Dirdal2017-110,,3,,,.
Dirdal2017-111,2,5,7,2-3-g-1+,.
Dirdal2017-112,3,2,5,,.
Dirdal2017-113,3,2,5,,Vill
Dirdal2017-114,,2,,,.
Dirdal2017-115,,2,,,Vill
Dirdal2017-116,3,2,5,,.
Dirdal2017-117,,2,,,Vill
Dirdal2017-118,,2,,,.
Dirdal2017-119,,2,,,Vill
Dirdal2017-120,3,2,5,,.
Dirdal2017-121,,3,,,.
Dirdal2017-122,3,2,5,,.
Dirdal2017-123,2,3,5,,.
Dirdal2017-124,,4,,,Vill
Dirdal2017-125,,2,,,.
Dirdal2017-126,3,2,5,,Vill
Dirdal2017-127,,2,,,.
Dirdal2017-128,,2,,,.
Dirdal2017-129,,2,,,.
Dirdal2017-130,,3,,,.
Dirdal2017-131,3,2,5,,.
Dirdal2017-132,3,2,5,,.
Dirdal2017-133,,3,,,.
Dirdal2017-134,3,2,5,,Vill
Dirdal2017-135,3,2,5,,.
Dirdal2017-136,3,2,5,,.
Dirdal2017-137,,4,,,Vill
Dirdal2017-138,3,3,6,,Vill
Dirdal2017-139,2,2,4,,Vill
Dirdal2017-140,,3,,,.
Dirdal2017-141,2,2,4,,Vill
Dirdal2017-142,,2,,,Vill
Dirdal2017-143,3,3,6,,Vill
Dirdal2017-144,,2,,,Vill
Dirdal2017-145,,3,,,Vill
Dirdal2017-146,3,3,6,,.
Dirdal2017-147,,3,,,Vill
Dirdal2017-148,3,2,5,,.
Dirdal2017-149,,2,,,Vill
