fishno filename y y_hat magnitude  "Squared e"
32 32.jpg 1 0.9824227 0.017577290534973  0.00030896147529
33 33.jpg 1 0.9897491 0.010250926017761  0.00010508095081
34 34.jpg 2 1.9862028 0.013797163963318  0.00019036272784
35 35.jpg 2 2.0798976 0.07989764213562  0.00638362648576
36 36.jpg 1 1.449501 0.449501037597656  0.202051149001
37 37.jpg 1 0.98000246 0.019997537136078  0.000399901606052
38 38.jpg 2 1.9877932 0.012206792831421  0.00014900596624
39 39.jpg 1 0.9882416 0.011758387088776  0.00013825997056
40 40.jpg 2 1.9880012 0.011998772621155  0.00014397120144
41 41.jpg 2 2.0251892 0.025189161300659  0.00063449579664
42 42.jpg 1 0.9927049 0.007295072078705  5.321848401E-05
43 43.jpg 1 1.0597774 0.05977737903595  0.00357333755076
44 44.jpg 1 0.98558176 0.014418244361878  0.000207885644698
45 45.jpg 1 0.9899347 0.010065317153931  0.00010131026409
46 46.jpg 2 1.9957721 0.004227876663208  1.78751384100005E-05
47 47.jpg 2 2.0037782 0.003778219223022  1.42747952400013E-05
48 48.jpg 2 2.0023215 0.002321481704712  5.38936224999938E-06
49 49.jpg 2 2.0215862 0.021586179733276  0.00046596403044
50 50.jpg 2 2.117061 0.117060899734497  0.013703277721
51 51.jpg 2 1.987949 0.012050986289978  0.000145226601
52 52.jpg 3 2.0186296 0.981370449066162  0.96308786199616
53 53.jpg 2 1.9682168 0.031783223152161  0.00101017180224
54 54.jpg 1 0.98660666 0.013393342494965  0.000179381556356
55 55.jpg 2 1.9888135 0.011186480522156  0.00012513778225
56 56.jpg 2 2.0004473 0.000447273254395  2.00077289999837E-07
57 57.jpg 3 2.9668195 0.033180475234985  0.00110094558025
58 58.jpg 2 1.9959292 0.00407075881958  1.65714126400003E-05
59 59.jpg 3 2.507257 0.492743015289307  0.242795664049
60 60.jpg 1 0.98627293 0.013727068901062  0.000188432450785
61 61.jpg 3 2.9382117 0.061788320541382  0.00381779401689
62 62.jpg 2 1.9898245 0.010175466537476  0.00010354080025
63 63.jpg 3 2.9526005 0.047399520874024  0.00224671260025
64 64.jpg 1 0.98762995 0.012370049953461  0.000153018137003
65 65.jpg 2 1.9982601 0.001739859580994  3.02725201000006E-06
66 66.jpg 1 0.9903783 0.009621679782867  9.25771108900013E-05
67 67.jpg 1 0.97188777 0.028112232685089  0.000790297475573
68 68.jpg 3 3.0051022 0.005102157592773  2.60324448400006E-05
69 69.jpg 2 1.9663789 0.033621072769165  0.00113037836521
70 70.jpg 2 2.0408795 0.040879487991333  0.00167113352025
71 71.jpg 1 0.98246336 0.017536640167236  0.00030753374249
72 72.jpg 2 1.9906286 0.009371399879456  8.78231379600006E-05
73 73.jpg 1 0.98857003 0.011429965496063  0.000130644214201
74 74.jpg 2 1.9989233 0.001076698303223  1.15928289000009E-06
75 75.jpg 3 2.8404098 0.159590244293213  0.02546903193604
76 76.jpg 2 2.000913 0.00091290473938  8.33569000000299E-07
77 77.jpg 2 1.9965172 0.003482818603516  1.21298958400001E-05
78 78.jpg 3 2.9608414 0.039158582687378  0.00153339595396
79 79.jpg 1 0.9835473 0.016452729701996  0.00027069133729
80 80.jpg 3 2.492995 0.507004976272583  0.257054070025
81 81.jpg 1 0.99220943 0.007790565490723  6.06929809248991E-05
82 82.jpg 2 1.9859109 0.014089107513428  0.00019850273881
83 83.jpg 1 1.0007966 0.000796556472778  6.34571559999881E-07
84 84.jpg 1 1.3281196 0.32811963558197  0.10766247190416
85 85.jpg 2 2.1552997 0.155299663543701  0.02411799682009
86 86.jpg 1 1.001564 0.001564025878906  2.44609599999968E-06
87 87.jpg 3 3.0195696 0.019569635391235  0.00038296924416
88 88.jpg 2 1.9833255 0.016674518585205  0.00027803895025
89 89.jpg 1 0.97783613 0.02216386795044  0.000491237133377
90 90.jpg 1 0.9766156 0.023384392261505  0.00054683016336
91 91.jpg 2 2.8452127 0.845212697982788  0.71438450824129
92 92.jpg 2 2.1600645 0.160064458847046  0.02562064416025
93 93.jpg 2 1.9903382 0.009661793708801  9.33503792399989E-05
94 94.jpg 2 1.9897395 0.010260462760925  0.00010527786025
95 95.jpg 3 2.9944963 0.00550365447998  3.02907136900024E-05
96 96.jpg 1 0.990587 0.009413003921509  8.86045690000001E-05
97 97.jpg 2 1.9924761 0.007523894309998  5.66090712100004E-05
98 98.jpg 3 2.954965 0.045034885406494  0.002028151225
99 99.jpg 3 2.975156 0.02484393119812  0.000617224336
100 100.jpg 5 3.417184 1.58281588554382  2.505306489856
101 101.jpg 2 1.9946191 0.005380868911743  2.89540848100002E-05
102 102.jpg 3 2.959527 0.040472984313965  0.001638063729
103 103.jpg 1 0.9876739 0.012326121330261  0.00015193274121
104 104.jpg 1 0.9927 0.007300019264221  5.32899999999996E-05
105 105.jpg 3 2.9798107 0.02018928527832  0.00040760783449
106 106.jpg 1 0.98952425 0.010475754737854  0.000109741338063
107 107.jpg 2 1.9923187 0.007681250572205  5.900236969E-05
108 108.jpg 3 3.030587 0.030586957931519  0.000935564569
109 109.jpg 4 3.7276616 0.272338390350342  0.07416820411456
110 110.jpg 3 2.998032 0.001967906951904  3.87302400000076E-06
111 111.jpg 1 0.9931266 0.006873428821564  4.72436275600004E-05
112 112.jpg 3 2.944416 0.055583953857422  0.003089581056
113 113.jpg 3 2.048652 0.951348066329956  0.905063017104
114 114.jpg 1 0.9819643 0.018035709857941  0.00032528647449
115 115.jpg 1 0.97580427 0.024195730686188  0.000585433350233
116 116.jpg 2 1.9966158 0.003384232521057  1.14528096400012E-05
117 117.jpg 2 2.0055609 0.005560874938965  3.09236088099985E-05
118 118.jpg 3 2.9622583 0.037741661071777  0.00142443591889
119 119.jpg 2 2.0046988 0.004698753356934  2.2078721439999E-05
120 120.jpg 2 1.9838458 0.016154170036316  0.00026095817764
121 121.jpg 2 1.9939798 0.006020188331604  3.62428080400004E-05
122 122.jpg 2 1.9977204 0.00227963924408  5.19657616000022E-06
123 123.jpg 4 4.009995 0.009994983673096  9.99000249999995E-05
124 124.jpg 2 1.9908202 0.009179830551147  8.42687280400013E-05
125 125.jpg 2 2.0028455 0.002845525741577  8.09687024999906E-06
126 126.jpg 2 1.9908483 0.009151697158813  8.37536128900018E-05
127 127.jpg 1 0.9844525 0.015547513961792  0.00024172475625
128 128.jpg 2 2.0221827 0.022182703018189  0.00049207217929
129 129.jpg 1 0.98400563 0.015994369983673  0.000255819871697
130 130.jpg 1 0.99250275 0.007497251033783  5.62087575625002E-05
131 131.jpg 2 2.0108922 0.010892152786255  0.00011864002084
132 132.jpg 2 1.9890193 0.010980725288391  0.00012057577249
133 133.jpg 3 2.950394 0.049606084823608  0.002460755236
134 134.jpg 3 2.2000563 0.799943685531616  0.63990992316969
135 135.jpg 2 1.2152258 0.78477418422699  0.61587054498564
136 136.jpg 2 1.9932895 0.006710529327393  4.50308102500009E-05
137 137.jpg 2 1.9881412 0.011858820915222  0.00014063113744
138 138.jpg 2 1.9924169 0.007583141326904  5.75034056100027E-05
139 139.jpg 1 0.9886527 0.01134729385376  0.00012876121729
140 140.jpg 1 0.98266196 0.017338037490845  0.000300607631042
141 141.jpg 1 0.99164575 0.008354246616364  6.97934930625001E-05
142 142.jpg 1 0.9885663 0.011433720588684  0.00013072949569
143 143.jpg 2 2.0083916 0.008391618728638  7.04189505599991E-05
144 144.jpg 2 1.9985845 0.001415491104126  2.00364025000004E-06
145 145.jpg 1 0.9942278 0.005772173404694  3.33182928400001E-05
146 146.jpg 2 1.9979622 0.002037763595581  4.15262884000036E-06
147 147.jpg 2 2.013065 0.013065099716187  0.000170694225
148 148.jpg 2 2.0037596 0.003759622573853  1.41345921599998E-05
149 149.jpg 2 1.6041793 0.395820736885071  0.15667402654849
150 150.jpg 1 0.9848547 0.015145301818848  0.00022938011209
      10.0292380235766
      SSE
      0.066861586823844
      MSE
